,text,Ans
774,really sick,neutral
775,yay only sundays maid came house clean again,neutral
776,thx robban httpwwwskgamingcommatch,neutral
777,thanks jk love ya death,neutral
778,going al ain need check one store hope find thing im looking for,neutral
779,geeze im wondering wrong people either need go run go sleep tomorrow fun day,neutral
780,parent busy making feel like  realise ive got worse need see doctor again sleep suck,neutral
781,gnight jonathan tried stay up really did cant wait till ur timezone much easier then,negative
782,prom rated irritated going bed goodnight,neutral
783,look everyone im bad boy im ranked higher meghan mccain httptinyurlcomojmz,neutral
784,rain wanna see hair hows everyone,neutral
785,ftrh  ride home,neutral
786,english screwed overall percentage x xii probably adm test too  happens,neutral
787,want chinese food really baaad,neutral
788,downloading song httpplurkcomprpwx,neutral
789,almost said and grammer exist either grunt stopped,neutral
790,d youre gonna take good care little baby hes gonna strong boy thats sure,neutral
791,ha lemme know find tho suspect lot complaints peaceful night friend,neutral
792,seeing shane dawson video,neutral
793,sad face,neutral
794,aaaaahhhh friday but funeral ,neutral
795,already miss,neutral
796,lauralp ok thanks help hope respond sooner later then thanks,neutral
797,commish day atl fam saw update net website look awesome,neutral
798,awww suck also finish uni totally mini housewarming yes work around schedule lol,neutral
799,famous daves mom hungry,neutral
800,would vote miley live ireland youll fine good luck slnbye irish  sorcha xxxx,neutral
801,home nite sleeping pull bed maggie wishing durden got find apt,neutral
802,ohsummer beginsyay fighting cry stress started kidsits  hr since got out,positive
803,feel deflated doggy,negative
804,sad young love coming end sooo cute together,negative
805,omg really sowwy ill again p tired morning p lol,neutral
806,owww back pain hm walmart no could get cupcakes,neutral
807,cant believe guy gonna stay one day rio de janeiro,positive
808,making boyfriend look different hes cute matter what ,negative
809,lol thx,neutral
810,working  tonight httpplurkcompxkbv,negative
811,well go peace corp prospects,neutral
812,rmbr time torned night sentosa one didnt spit   unknown facts abt,neutral
813,good idea ill remove old receipts tissue paper nonsense take pic,neutral
814,whatever be,neutral
815,wango tango good night,neutral
816,im best financial situation moment im beyond broke money spend soon earn atm,positive
817,hello you totally go biggest shopping center europe go shopping together ,neutral
818,fixing openbox theme little,negative
819,selling laptop cheap anyones interested  toshiba gig ram,negative
820,recent experience anything go by fear might going indian food good people good,neutral
821,wish wasnt bummed kinda,neutral
822,hey mitchel live again didnt get chance call,neutral
823,looking sunshine office window,neutral
824,back sore done jump last night,neutral
825,working,positive
826,brides la mode pow wow first thing morning past weekends lovely wedding fresh mind pic soon,neutral
827,got paycheck april bonus b deposited day rest gotta wait til mon,neutral
828,nope way stop put wiv,neutral
829,recommend returning broken duck toy batteis came person giving may get mad trust me,neutral
830,much substitute variation ate much too oof,neutral
831,beautiful weather why u sick baby   tanapolis,neutral
832,oui mademoiselle barely turn around day without bumping one,neutral
833,flickr pic chester zoo danwtmoon posted photo welcome chester zoo jockey httptinyurlcomcqqw,neutral
834,woke watched jon kate plus eight tried pretend like still normail family,positive
835,youre freak,neutral
836,dont even know lenaaa going clothes show,negative
837,jane yay buti nagustuhan nyo isang bar lang enclosed ko sa mail test matutunaw hindi next time uli,negative
838,memory,neutral
839,yep nothing worry about,neutral
840,back work tomorrow whose idea go back saturday oh wait would mine fail,neutral
841,going start small like   slowly higher stake,neutral
842,make videoblog,neutral
843,reading evermore lynn viehl,neutral
844,wow storm had power,neutral
845,getting phone back week yeeeewww,neutral
846,back school daily show amazing gonna watch later think xd,neutral
847,breez yer please do good day,neutral
848,musicmonday epic song y  lights sounds yellowcard  httptinyurlcomdbppm,neutral
849,hot cuppa coffee made milk  fortified monins irish coffee syrup bliss,positive
850,right im peeps hope fix twitter mobile tweet race mtwitter  day fail,neutral
851,anticipated meet tapan parikh apparently wont pas nairobi head straight mombasa,negative
852,watching army wife always make cry,neutral
853,productive day ,neutral
854,rest peace adam   glenn epps gone never forgotten week loud da air  ya,neutral
855,gotta love summer,neutral
856,marking going ok far as bs far  relieved look like future programmer class,neutral
857,ala no its normal night monday quiz night,neutral
858,anyone go photographing today managed get macro shot flower blooming,positive
859,buckley good morning sunny londonsounds like oxymoron happens true today hurrah,neutral
860,cool thatd fantastic,negative
861,live stickamcomitstyleryo come chat,neutral
862,right like cape breton coal mine  lesson learned,negative
863,yes im quite rusty im hoping get back tune up skills tim play guitar threaten duets,neutral
864,hey everybody hah day cool got back walk dog omgosh send link please,negative
865,srry im interesting right now stayed til am cause tummy hurt im pooped work,neutral
866,might enough money college,neutral
867,lol woow okay big deal,neutral
868,love leave laptop bed creates nice toasty spot,neutral
869,mean someone hit dog car laying,neutral
870,start tomorrow going book sam forgot,neutral
871,salt vinegar cheese onion make breathe smell lol ,neutral
872,youre welcome there added already,neutral
873,rose mornin  missed dance time guess dance extra hard tomorrow,neutral
874,sorry hear dude probs thats much,neutral
875,discovered numpy array hold value type useful manipulating array number uncertainties,neutral
876,maybe take drinking again feel massive hangover still yself today,neutral
877,downloaded tweet decklook saviness,neutral
878,today friday really hope read message reply soon could reach phone go work,neutral
879,whatever know like it hahahhah,neutral
880,oh no fun weekend friend gone mother made family weekend it ,negative
881,good morning twitterland happy monday,neutral
882,writing reports,neutral
883,thanks timmy turn strep high fever,neutral
884,oh nice something nice next week  going madrid next weekend day,negative
885,keeping chilled,neutral
886,beautiful day got first class,neutral
887,fabulous didnt get pic gmail acting fool sometimes u dm it,neutral
888,yeah its terrible cockatoo hardest live with emotional good thing found you though,negative
889, sucks,neutral
890,yes,neutral
891,datti thanks sankar ur wish,neutral
892,love waking thinking its weekday realizing its weekend,neutral
893,sorry bout cat,neutral
894,youre person joined penilewords,neutral
895,washed im clothing type xd woooo,neutral
896,miss u too im still clubu knowwest coast ,neutral
897,love love love pot psycology friday night treat,negative
898,happy star war day may fourth you,neutral
899,playing lighter fire match grass,neutral
900,art would one its awesome sauce,neutral
901,bucky ferret officially insulinoma daily prednisone interview pdoc today go back monday testing,neutral
902,ive never prague money itll  first city visit,positive
903,coffee time,neutral
904,creepy first really grow like him cried like baby tosh died,positive
905, really son  screw him ill talk msn later k xox,negative
906,didntbut wait good twenty minute one good night though,positive
907,always hope die see old one make sad,negative
908,thanks alen seems submit community news error must prove,negative
909,dont follow me ruin twitter experience,positive
910,blah car repairs almost  dollars shopping around better deal,positive
911,weetabix choco milk yum,neutral
912,too,neutral
913,im sad lost another person close cancer,negative
914,me thanks kinda bittersweet though,neutral
915,nutbar good morning you twittertakeover,neutral
916,first time twitter,neutral
917,captain jack back,positive
918,la bens dream make saddddddd want togetherrr swear  get bawlinggg help me,neutral
919,internet fast slow fast connection go,neutral
920, am you,neutral
921, year old barbie doll still rock itthat girl hot ken aint bad either memories,neutral
922,weather make finger numb  still waiting,neutral
923,lol yeah ima mama thanks happy mamas day lakers day love it,neutral
924,doneits summer,neutral
925,genos hrs ago would went pat neon light got lol drink south philly bar,neutral
926,httpyfrogcomxoxij fry bread good gave little pinch lettuce ha ha,neutral
927,wow effect thanks update,neutral
928,got  today also miss friend,neutral
929,catching reading twitter n bf break,neutral
930,no thats right  remember now fearless tweet  seen fearless,neutral
931,thought dwell certain person,neutral
932,transition time over tonight work night shift woke ,negative
933,gonna go work honey today exciting,neutral
934, aww thats bad lost though,neutral
935,new private acc use close twitter friend,negative
936,hate going online looking balance bank always lot lower need be,neutral
937,actually web work fine tweetdeck seems culprit sadness its done two diff location,neutral
938,x geo isu go swear worse day ever,neutral
939,could all empire dirt im ae dad im freezing fully shivering every else warm fones allowed ffs,negative
940,tell think pride prejudice zombie    youre hyped sugar,neutral
941,tdh install ruby gem rail keep please,neutral
942,ultimate training looking forward sunset,positive
943,going work again great day had its atleast get  commin wahooooooo,neutral
944,good see back sorry happened,positive
945,st mother day tomorrow,negative
946,you said darling happened fall asleep carry home cuz know wasnt here goodnight twitterererers,neutral
947,clear whole office sign next place truck yet fully clean back seat lol,negative
948,its gonna storm said so,neutral
949,broke ipod,neutral
950,banks something must wrong found  july harlsil book wanted,neutral
951,haha should state pride important,positive
952,ugh say friend might swine flu omg why,neutral
953,haha problem its fun isn,negative
954,finally got wash hair feel much better now gotta dry  effffffort,neutral
955,finally feel back swing thing work getting married last week sigh relief wedding planning,neutral
956,suck booo,neutral
957,hate untalented  mean talented friend,neutral
958,look like were rained weekend climbing,negative
959,google map working anyone else,positive
960,oh ,neutral
961,dont really trust judgement vouches xo jk ill think becoming friend,neutral
962,jesus heals,neutral
963,its surprising much billy idol turn tweets monitor constantly  im obsessed anything billyidol,neutral
964,werd thats true,neutral
965,birthday well happy birthday,neutral
966,without wing,neutral
967,tweet me thought remembered seeing one cant see now glad teatree ok,neutral
968,night twitterland x five hour sigh,neutral
969,happy birthday  hour  minuet haha,neutral
970,lunch breaks over going back work,negative
971,glad see its typical bank holiday weather wise  going much today  yeah right,neutral
972,hayley williams pretty much amazzing,neutral
973,app said need  later,neutral
974,nothing,neutral
975,php website upgrade hell bank holiday hows planning,neutral
976,really good night missing little girl,neutral
977,miss captain,positive
978,im sending mother httpbitlyaarf,negative
979,oi mocking fact dont cry tv things feels badxxx,neutral
980,public cant get anyone follow,positive
981,brings back everyone button access pt  httptwittercompublictimeline link bottom settings,neutral
982,boring talking to lol  ,negative
983,know right guess oldest doesnt hold rank field trip anymore,neutral
984,signed upso hello twitter world,neutral
985,wont getting rotf toy till much later tell anybody isntis worth getting,neutral
986,heading xbox go shopping morrow,neutral
987,saw calling cannot answer im second hour phone convo mom wont stop talking,neutral
988,excited httpplurkcompstk,neutral
989,hmmm really thats weird idk one sowwy,neutral
990,oh look boring even boring exam saturday,negative
991,practice beast today going see julian tonight,negative
992,getting somewhere first real kiokudb catalyst app yay,neutral
993,thanks though  trying positive wine may helping lol wish could make gigs,neutral
994,think niece got sickee lame,neutral
995,rise shine time get prettifide,neutral
996,tried sooooo hard work home today failed fault though,neutral
997,gosh ive stinky old headache maybe lunchfast,neutral
998,glenna bored glad beautiful day macy went swimming kris played golf sat home waiting,neutral
999,bout   drink imma head da house,positive
1000,get sucked true life steveo documentary intense love  its nice see people get life back,negative
1001,love life ni night twitter,negative
1002,knew meant,neutral
1003,succesfully following tayla,neutral
1004,new phrase you never doubt mo williams six game win streak,neutral
1005,fun tomorrow night think fun bar art gallery wish could,neutral
1006,th please not maybe shell get  attempt win tomorrow,neutral
1007,trying learn tweet its good hope,negative
1008,bleargh never clean much house want work matter early wake up today sink laundry,neutral
1009,great social network site still growing,neutral
1010,got paid hour could retire xbox live thinking rock band,neutral
1011,learn walk day sprint sprinkler without stretching,negative
1012,soi half asleep wrote previous message greatest friend haha are,neutral
1013,im still trying see star trek ill woman go alone bf pretty much worthless anyway lol,neutral
1014,law change  s could really push bcause gran bathgate u citizen b dad born,negative
1015,new follower pretty cool tweeps check em out,negative
1016,work today went shopping relaxing learning toefl,positive
1017,watch arsenal v chelsea today,positive
1018,hes getting ear tube hour food,neutral
1019,yay asap lol awwh miss friday night happy hour even luna del sea boy hahahaha,neutral
1020,left base loaded,neutral
1021,cowboy westernshavent seen while good luck,neutral
1022,its already over ,neutral
1023,trying back document wasnt playing along taking forever back,neutral
1024,test shooting later afternoon mention holland indie wine festival week tongue red,positive
1025,dad know got drunk today didnt get trouble,negative
1026,ill excuse love cavs west even though dont share it,neutral
1027,lol  could try seriously tho dont it sucks ,neutral
1028, wanna see rest saw like  minute,negative
1029,happy mother day mom love you,negative
1030,burning cds  outa blank discs,negative
1031,new album truly genius happy,neutral
1032,youre alive go w notebookitll make cry stuff,negative
1033,okaii cool cant wait series begin its guna awesome x,neutral
1034,cry walk remember usual,neutral
1035,hav  follower ,neutral
1036,happy star war day everyone celebrate family ok were celebrating going round famos,neutral
1037,also certain cd camp certain somebody gave me yeah theres guy video thats really frickin hot,neutral
1038,its mothers day,negative
1039,yay birthday sadly voice almost gone  pretty good night,neutral
1040,finally hit  friends thanks,neutral
1041,im part religion called peoplewithgoodtasteinmusic dont celebrate jonas brother day,neutral
1042,im workbored mind,neutral
1043,watching notebook,neutral
1044,yes tax disguise booking fee commission online travel portal charge try ixigocom next time,negative
1045,twitter gettin lil bit confusin twitterifictwitdroidtwitterberry understant txt bit tho lol ah well twitter cool anyways,neutral
1046,finally sleep time,neutral
1047,httptwitpiccomla  best kind gum ever bought pack,neutral
1048,heater blew,negative
1049,tried failed,neutral
1050,finished mine part remarkably difficult cramming kanji now,neutral
1051,everyones tweet britain got talent feel left,neutral
1052,yay mother day love mi madre,negative
1053,wouldnt reverse overdraft fees,neutral
1054,nne im good day,neutral
1055,miss soulja boy dance,neutral
1056,woke came realization put much want need  drop friends dammit,neutral
1057, day left freedom really want get weekend hate essays,neutral
1058,lol guy awesome,neutral
1059,home good night world,neutral
1060,httptwitpiccomvtlm  awww really cute,negative
1061,got alot runnin around today get job app completed file glad got job,neutral
1062,lappy charger completely dead conserving whats left battery afford buy new one,neutral
1063,well must say lucky you guess mean chillin concert huh,negative
1064,happy mothers day moms around world love mine anything world cant wait celebrate woo,neutral
1065,put real pic up im going miss avatar,neutral
1066,folio work keep getting distracted deb pic,neutral
1067,sad border guerrilla gardening book otherwise lovely relaxing day,neutral
1068,cant sleep cant find grandmothers quilt locket im sick cause may lost somehow stolen,neutral
1069,take bad  dog pet hotelso sad,neutral
1070,hit sheets,neutral
1071,wish ipod  need jonas  miss sexy voice jb forever ,neutral
1072,watching gilmore girl reruns dont know else day,neutral
1073,wow hot miserable people probably killing right now,negative
1074,thanks mama  absolutely adore,neutral
1075,ohh snapp fun,negative
1076,sitting waiting exam start,neutral
1077,dont think ive ever tried peanut butter toast,neutral
1078,would hes premiering avatar footage cant then also better hang out,neutral
1079,home chelseas jam session    chelsea  abby  luh you,neutral
1080,well visiting grandparent later btw heard katy perrys hook whew cool love kclarksons version,neutral
1081,sweet haha like super proud new mom feel like got perfect daughter great mom,neutral
1082,gosh im bored earlyn wanna goto sleeeepp work kay,negative
1083,im sure shell fine theyre daft look sometime,neutral
1084,ha id give kristen plenty free hugs sigh could,neutral
1085,and yes  mac werent expensive,neutral
1086,hate cottage cheese even got fancy stuff last weekend lemon berriesi could eat half it,neutral
1087,link isnt working,neutral
1088,need go bank,neutral
1089,come estonia know epic horse here hehe good trainer good beach ride,neutral
1090,jonas wow theyre totally amazing theyre awesome,neutral
1091,got laid stupid economy,neutral
1092,httptwitpiccomi  plan ruined,negative
1093,nothing better grandaughter smile nothing feel better big hug grandkids hoot,neutral
1094,wake darling,neutral
1095,oh know aprreciate back plan,negative
1096,yes would love cowbell,neutral
1097,umm dont ya mean ship,neutral
1098,really wanna go australia england,neutral
1099,slept entire flight woke fact girl beside watching chitty chitty bang bang,neutral
1100,gym sesh,negative
1101,trying get sleep mum blaring le mi really loudly sitting room,neutral
1102,dont think im gonna able go see jb d concertwrong time close,neutral
1103,im sad panda hulu doesnt elephant show skinnamarinkydinkydink sing alongs me,negative
1104,whats up happened dm need to txt phone defunkd,neutral
1105, word  minute speech  teen movies due wednesday blah blah cant wait glenn ball,neutral
1106,im gonna cry went bad history test  really hate history ,neutral
1107,got up couldnt sleep anymore guess im really gonna go back bed im really sleepy,neutral
1108,going work,negative
1109,agree whole hollie thing,negative
1110, truetrue hes not xd,neutral
1111,sad missed going away party due much work really gonna miss kid,negative
1112,ive come conclusion lemongrass chicken taste like lysol  much lunch,neutral
1113,one random phone call ever god kill now,neutral
1114, criminy cuteness httptinyurlcomcdyab sinfest,neutral
1115,neighborhood gas station gone kaput business convenient trip ice whatevs  mile travel,neutral
1116,tomorrows mothers day n si gonna make onigiri mom gonna kewl cant wait tomorrow ,neutral
1117,make sad people phone sick,negative
1118,taking care sick child,neutral
1119,welcome life,positive
1120, event  writing songs finished tmnt v mmpr song im excited record wednesday,neutral
1121,yup way  early im already work,neutral
1122,oh sweet ill definitely check get chance,neutral
1123,youuuure aaa aaa loooool,neutral
1124,want ride bicycle today its cold cloudy today,neutral
1125,important person who,neutral
1126,thats said like you too though going steady  though,neutral
1127,thank you one day time right,negative
1128,missed mine too fun,neutral
1129,via  found geocache heads up httpcoordinfogcret probably find day httpbitlyjss,neutral
1130,let dream spock goodnight,negative
1131,e thanks following me nice meet,positive
1132,danny cut beautiful curl,neutral
1133,god good,neutral
1134,forcing watch movie  book report im lazy read,neutral
1135,thanks amy full hotness,neutral
1136,dont think take needle watched horribly gory short film drug month ago im scarred life,neutral
1137,finished watching last star war,neutral
1138,thanks  httpblipfmzn,neutral
1139,cant arsed get bed hello sunshine,neutral
1140,every pair jean nowadays tight think mah butt gettin big oh,neutral
1141,bought two top scarf yesterdaysister successfully hijacked morning wear breakfast after removing tags,positive
1142,btw realize profile pic make look much older say are,positive
1143,aw sorry e  hope look lame ear theres always next year  lamer ear  fail uhhlove ya e,neutral
1144,tinycc doesnt seem load thinking going batting cage apparently gotta book adv,negative
1145,cheese onion vinegar taste weird crisps englands got load weird crisp flavorus lol like  x,neutral
1146,thank yooou might get seen to hm ,neutral
1147,ohh grandpas stable wont kno detail til tomorrow visit keep fam ur prayersthank  goodnite,neutral
1148,sore throat good four performance weekend,neutral
1149,handwriting isnt them everyone making fun im sitting myseld lrc,neutral
1150,disappointed talent lineup reventn super estrella hmmhave feeling wont get tix time around,neutral
1151,ppl  year anniversary video httpisgdysbs come break,neutral
1152,come im merci btw always inspired since teenager,neutral
1153,crappy,neutral
1154,freezing cold cant function right type weather starving max,neutral
1155,anyone ever heavy feeling sadness hearts thats case rite now,neutral
1156,haha sorry hear,positive
1157,kk  y closing get out,neutral
1158,hes old school burnouts lap around track like used to nascar,neutral
1159,hannah slept last night gave  bottle went right back sleep im up lol,neutral
1160,aww could would gby ,neutral
1161,ate many kisses,neutral
1162,thanks warning good thing heart unbreakable,neutral
1163,everyone place tomorrow bonfire tofu dogs austin powers,negative
1164, like youre stuff strange voicemails httpbitlyykxms,neutral
1165,well done happy ya,neutral
1166,ok yes infact chatted earlier nbin well,negative
1167,well bro,neutral
1168,im sorry wish instead it would give good excuse get away him hehei love ,neutral
1169,true form bank holiday monday look like might rainy hope hold til later familyfriends plan walk picnic today,negative
1170,call number uk  really want call u dont know xxxxxx,negative
1171,think fml changed lml love life,negative
1172,ha im giving spymaster chance  curious miss u,neutral
1173,ah thought management fiat fiat oh well and shripriya or shri one must shorten it,negative
1174,love nd half even days orch jazz band daddy,negative
1175,tired turning internet play morning,neutral
1176,watching walleits cute sad,neutral
1177,happy star war day,neutral
1178,got notified podcast accepted itunes httpbudurlcomsbit course realized miss formated fixed now,neutral
1179,heyythnxxorinvitingmetourpartyrobillbedownthereonjunethillmissuwhenugotoitaly  txtmehon,neutral
1180,tired summer already,neutral
1181,mite article trib bout portia keep eye it,neutral
1182,ive given pizza  kid would never let fav the hot ones,negative
1183,im hangin cousin holly tlkin  grandparents phone went dead,neutral
1184,thats great,neutral
1185,princess sakura mine therefor want use tj grr,neutral
1186,wish could teach dog play xbox alasno thumb,neutral
1187,cleaning room found this httpyfrogcomtbj took wv insisted paying ticket,neutral
1188,thanks im totally bushed today though time coding,neutral
1189,still making icon,neutral
1190,gonna go  bed now night tweeter  dont think sleep  hahah nite,neutral
1191,waiting turn wii fit gym closed,neutral
1192,omg sun glimpsing clouds woohoo,neutral
1193,haha yea feel like taken wrong direction used cool place mess,neutral
1194,shes must truly amazing woman phenomenal son,positive
1195,nicei cleared head,neutral
1196,think itll like casual attendance instead review might another issue felix then thanks,neutral
1197,pic didnt show boo pic site show up,neutral
1198,baby need  right  right,neutral
1199,umm get ready help mum give gj present get could while wait people arrive party,neutral
1200,together,negative
1201,httptwitpiccomwuaq  another prof pic,neutral
1202,happy mothers day mom,negative
1203,httptwitpiccomvwa  im gonna buy onenor two three ultimate slaughter machine,neutral
1204,asylm yay registered lost friend,neutral
1205,church bell ringin got go adieugod bless german,negative
1206,still feel like craaaap like everyone earth need know lol fun birdie,neutral
1207,watching dor utv movie great performance,neutral
1208,u watch spelling bee contest  winner kavya shivshankar  impressive performance  even heared word b,neutral
1209,probably weather,negative
1210,relaxation much thing list really much,neutral
1211,got message twitter freak,neutral
1212,wonder hate driving country road stuff,neutral
1213,heading a longband practice last one first show saturday night hope its good one httpdiggcomumiw,positive
1214,say happy mothers day mom there httpplurkcompstezd,negative
1215,sorry hear news,positive
1216,ive there place flown since moving north really pretty area flying expensive,negative
1217,sad daniel leaving florida now gave big hug,neutral
1218,its mothers dayi already bought gave mothers day present mother,negative
1219,best friend leaving go back school todayi sad,negative
1220,hey u follower atl,neutral
1221, pm perrrfect universal alignment ,neutral
1222,new nick name  arosh i like like,neutral
1223,bored decided iron baju sklh thn realized hate tht iron sleeve hahaha im schl,neutral
1224,trump casino vegas,positive
1225,jimski in book yes,neutral
1226,ilooked phone book ur name first show like got titi number ur email,positive
1227,asks karma point please httpplurkcompwxnt,negative
1228,,neutral
1229,officially booked seattle its going best birthday weekend ever you made sad,negative
1230,carter link doesnt work,neutral
1231,m awww mothers day gone o work today witht camera little while hopefully,negative
1232,guess get load email  people asking stuff al time seriously wonder ever read comment x,negative
1233,late nothin  do,negative
1234,ahh love chinese music haha gonna see luff til thursday,neutral
1235,people peoplenooooo id never guessed thtidiotim grouchy,neutral
1236,see hannah klein lookin good today,positive
1237,aha marie brothers wallpaper phone dolly sheep aha im loling,neutral
1238,its saying wrong linkit cannot find address,neutral
1239,know kittie professional,neutral
1240,sending blessing,neutral
1241,ahh ok enjoy ill miss,neutral
1242,tonight tv viewing bgt hignfy reggie perrin wont tweeting however minic hidden ipod,neutral
1243,mudweight hauled last time httpyfrogcomzrjqj,neutral
1244,dislocated knee badpainful times gas  air morphine fun though,positive
1245,cant belief already monday weekend went soooo fast keeping finger crossed,neutral
1246,barack obama legend watched dinner speach pretty funny,negative
1247,got whooped jason bradbury ace ,neutral
1248,ouch wont miami tomorrow morning suck its cruise driving back next saturday,neutral
1249,sadd last night fl going back ar tomorrow,negative
1250,according mary chaayaa look like sexy emo dp emo,neutral
1251,sound awesome,neutral
1252,well tricky one would say ,neutral
1253,no school start june two day go still dont want l,neutral
1254,still internet today,positive
1255,tbh credit phone sux cant even text people see whats happening like totally grrrsville,positive
1256,gahhhh homework masterchef half hour hahah recruit,positive
1257,month bad month try get advert together kobold quarterly,neutral
1258,im concerned family,negative
1259,idk cant ,neutral
1260,get spam college email account now way rub graduation,neutral
1261,im much tune word today thanks,neutral
1262,gonna get them got bitten,neutral
1263,im sad missed calling time got home practice late,negative
1264,im jealous im slaving away store youre chilling boat,neutral
1265,get bored routine lol,neutral
1266,drink responsibly mean you please share tip or two youre drunk right ,neutral
1267,got early pay bills figured like bandaid get quickly wont bad wrong,negative
1268,ooh work im afarid looking forward sunny weekeknd tho,neutral
1269,watch lowkey freestyling and selling mixtape httptinyurlcomdevxh performing norwich tonight,negative
1270,feel sorry bestie good luck ali,neutral
1271,need one these thinking earlier today downloaded picture via usb evernoteeyefi,neutral
1272,putting  new consultant work week its good feeling congrats offer,neutral
1273,oh gosh want party done already,neutral
1274,ive totally got job tell,neutral
1275,snappys delivered tea ice cream love sister,neutral
1276,eek cant wait see it well everyone elses gahh dont know want lol,neutral
1277,friday freakin happy today annoying day buuut weekend tgif,neutral
1278,yep itll awesome max  haha,neutral
1279, heading poole around ish serious gardening go tweetdeck til sunday evening,neutral
1280,sick rigging tomorrow,neutral
1281,go dreaded dmv tomorrow,neutral
1282,way nottingham icof tonight gig umtil download fail,negative
1283,you,neutral
1284, jasper clip first favorite twitter message,positive
1285,hey r u back la right nowwhat ur favorite part bout europe ive never country xcept canada xo jenna,neutral
1286,handz quiet unfortunatly hell its good chill right,neutral
1287,wish could time xbox project tied,negative
1288,right trip,neutral
1289,ember yay thanks coveri sad ang alist please ,neutral
1290,yay love host money breakfast jenna lee hrs amazing pretty sexy jenna lee yay,neutral
1291,gutted kitchen empty literally empty even kidding im hungry,neutral
1292,darn thought meant white sox,neutral
1293,jtv what gone  minute youre already showing boobage without me,positive
1294,got work take whole day off great bos,neutral
1295,poor lmao stick head window,negative
1296,etherreal main preoccupation its etherreals preoccupation humm  schizophrenic ,neutral
1297,dohh old never heard it im last year,neutral
1298,instrumentalist like give singer hard time vocalists job toughest heshe sick,negative
1299,got nashville ihop staff hit dougie mayne  night,negative
1300,miss matt today,neutral
1301, shift down  go birthday but getting excited im turning  mean im almost ,neutral
1302,feeling tempted high volume jeep start acura wave too,neutral
1303,inorite humid well,neutral
1304,heading back home win,neutral
1305,stomach hurt,neutral
1306,good luck pressure test dont worry everything great,neutral
1307,really wish could,neutral
1308,im conflicted here really like mike still feeling darrin its really complicated dont know do,neutral
1309,cant,neutral
1310,yes maybe today write,neutral
1311,noticed yesterday tooim actually really happy startrek,neutral
1312,back frizz head,neutral
1313,okay yesterday good went food shopping cooked chicken taco bakes cookies back work,negative
1314,looking photo shoot picscheck myspace pic see themi love all,neutral
1315,walkathon morning im among first arrived finishing line,neutral
1316,little beetle feeling love search bring zilch bar  peep appear funny ,neutral
1317,thank ye vaneta much appreciated,neutral
1318,bitter why hug ,neutral
1319,went  see hannah montana movie wiv jodie friday well good feel nasty laughing lil girl cryed lol,positive
1320,httptwitpiccoms  saw family five get motor home laundromat clean clothes bedding,positive
1321,lol too going am isnt easy used,neutral
1322,quite few peacock oceanographers choice new favorite play,negative
1323,yeahhh uve got plenty great fans spain too u come play gig here,neutral
1324,im lunch already ur lil late buddy,negative
1325,ugh nothing valley seriously gotta move here,neutral
1326,no keyboard cat ishas dead years play off keyboard cat,neutral
1327,,neutral
1328,delicious let walk sometimes hubby others miss,neutral
1329,sorry jj missed post ill make sure next time,neutral
1330,deg c here tech room major downside lot heat doesnt help hot outside ,neutral
1331,wow last hour twittering ive yet sent twitter guy bare w me,negative
1332,squabbling people internet great tumblarity bad ego internet friend,negative
1333,hun yes yes,neutral
1334,leigh thank you trying stay positive head space keep pushing all hows thing end,neutral
1335,exam commmmmiinnnnnggggggg ,neutral
1336,enjoyed week work back next week,neutral
1337,im come try find fan,neutral
1338,hey know ya dont know wanted say yopu helped lot iraq wanted thank,neutral
1339,feeling tierd much college work,neutral
1340,mmmreconsituted meat product weekold veggiesgotta love rehydrated warm milk breakfast,neutral
1341,oh say aint,neutral
1342,hope  join youll find one,neutral
1343,thank god overcast ivory trying get mom take lunch egh doesnt look like gonna work,neutral
1344,cant thank enough nitin between,neutral
1345,sadly late traceycakes got elsewhere still yummy tea w wee wknd,positive
1346,well piss that cant get site  work come thru phone,neutral
1347,httptwitpiccomar  post guitar hero  kicking,positive
1348,dont like kde since ver  like vista fail,neutral
1349,woke up making breakfast,neutral
1350,httptwitpiccomfue  formerly pretty car,negative
1351,thought hubby deployed n got blue need stiff drink im breastfeeding booze  ugh,neutral
1352,need motivation life oh love would nice,negative
1353,welcome,neutral
1354,cant wait start weekend im sick working selfmedicate im fresh herb,neutral
1355,itx credit unfortunately,neutral
1356,its ugly gray outside even san diego cold get  maygray junegloom u,neutral
1357,know mean,neutral
1358,cooky good,neutral
1359,loved it happy birthday said sounded like mixture john lennon chrissie hynde janis joplin,neutral
1360,griffiths good atmos decided stay til closing funny,neutral
1361,supporting superfly way,neutral
1362,would lime them lemon deal sound fabulous me text youre back,neutral
1363,dont make feel like used,neutral
1364,start true franchise online mode dynasty huge madden online league much,neutral
1365,im trouble finding really yummy egg free icecream favoriteicecream  got recommendation anyone,neutral
1366,tea break cant wait drive home tonite,neutral
1367,watching mock week slowing cooking,neutral
1368,unfortunately didnt leave house time,neutral
1369,twubbing,neutral
1370,da heck garage man get ask you when,neutral
1371,ok feel like need cry cant believe le  year ill walking across stage get high school diploma,negative
1372,got ipod touch downloading apps now,neutral
1373,hey hey happy mothers day httpplurkcompsvwii,negative
1374,  lol friday saturday lol im australia,neutral
1375,alfradique fun well hopefully dont much go,neutral
1376,night all im trying get bed early oncewell early  normal person,negative
1377,mother daylove madre chels tonight cant wait see present,negative
1378,conference call hp gave invalid pas code cant attend,neutral
